北京大学	Peking University
天津体育学院运动与文化艺术学院	College of sports, culture and art, Tianjin Institute of Physical Education
武汉工业学院工商学院	Business School of Wuhan Institute of Technology
福建对外经济贸易职业技术学院	Fujian Vocational and Technical College of foreign economy and trade
长春大学光华学院	Guanghua College of Changchun University
淮北煤炭师范学院信息学院	Information College of Huaibei Coal Normal University
长春工业大学人文信息学院	School of Humanities and information, Changchun University of Technology
河北工程大学科信学院	Science and Information College of Hebei University of Technology
宁夏大学新华学院	Xinhua College of Ningxia University
燕山大学里仁学院	Liren College of Yanshan University
西安建筑科技大学华清学院	Huaqing College of Xi'an University of architecture and technology
山西电力职业技术学院	Shanxi Electric Power Vocational and Technical College
哈尔滨理工大学远东学院	Far East College of Harbin University of Technology
中原工学院信息商务学院	School of information business, Zhongyuan Institute of Technology
沧州医学高等专科学校	Cangzhou Medical College
湖南商学院北津学院	Beijin College of Hunan Business University
江西农业大学南昌商学院	Nanchang Business School of Jiangxi Agricultural University
兰州商学院陇桥学院	Longqiao College of Lanzhou Business University
武汉科技大学城市学院	City College of Wuhan University of science and technology
辽宁中医药大学杏林学院	Xinglin College of Liaoning University of traditional Chinese Medicine
江西师范大学科学技术学院	School of science and technology, Jiangxi Normal University
湖南司法警官职业学院	Hunan Judicial Police Vocational College
商洛学院	shangluo college
天津城市职业学院	Tianjin City Vocational College
抚州职业技术学院	Fuzhou Polytechnic
湖南工程学院应用技术学院	College of applied technology, Hunan Institute of Engineering
烟台大学文经学院	School of Arts and economics, Yantai University
岳阳职业技术学院	Yueyang Vocational and Technical College
长江大学文理学院	College of Arts and science, Changjiang University
山东医学高等专科学校	Shandong Medical College
河南检察职业学院	henan procuratorial vocational college
广西中医学院赛恩斯新医药学院	Sains New Medical College of Guangxi University of traditional Chinese Medicine
湖北大学知行学院	Zhixing College of Hubei University
贵州大学明德学院	Mingde College of Guizhou University
湖北工业大学商贸学院	School of business, Hubei University of Technology
华东交通大学理工学院	School of science and technology, East China Jiaotong University
贵阳中医学院时珍学院	Shizhen College of Guiyang University of traditional Chinese Medicine
青岛求实职业技术学院	Qingdao Qiushi Vocational and Technical College
西安工业大学北方信息工程学院	North Institute of information engineering, Xi'an University of Technology
新疆医科大学厚博学院	Xinjiang Bohou Medical University
河北师范大学汇华学院	Huihua college, Hebei Normal University
江苏经贸职业技术学院	Jiangsu Vocational and Technical College of economy and trade
郑州职业技术学院	zhengzhou technical college
山东药品食品职业学院	Shandong Vocational College of medicine and food
天津外国语学院滨海外事学院	Binhai College of foreign affairs, Tianjin Institute of Foreign Studies
贵州师范大学求是学院	Qiushi College of Guizhou Normal University
天津生物工程职业技术学院	Tianjin bioengineering vocational and Technical College
河北经贸大学经济管理学院	School of economics and management, Hebei University of economics and trade
山西师范大学现代文理学院	College of modern arts and science, Shanxi Normal University
三峡大学科技学院	College of science and technology of Three Gorges University
安徽大学江淮学院	Jianghuai College of Anhui University
吉首大学张家界学院	Zhangjiajie College of Jishou University
安顺学院	anshun university
沈阳医学院何氏视觉科学学院	He's School of visual science, Shenyang Medical College
天津理工大学中环信息学院	Central School of information, Tianjin University of Technology
贵州财经学院商务学院	Business School of Guizhou University of Finance and Economics
西安电子科技大学长安学院	Chang'an College of Xi'an University of Electronic Science and technology
上海思博职业技术学院	Shanghai Sibo Polytechnic
陕西邮电职业技术学院	Shaanxi Vocational College of Posts and Telecommunications
哈尔滨工业大学华德应用技术学院	Huade Institute of applied technology, Harbin University of Technology
济南大学泉城学院	Quancheng College of Jinan University
凯里学院	Kaili University
海南万和信息职业技术学院	Hainan Wanhe Information Vocational and Technical College
新乡医学院三全学院	Sanquan Medical College
石家庄外国语职业学院	Shijiazhuang Foreign Language Vocational College
海南外国语职业学院	Hainan Foreign Language Vocational College
陕西警官职业学院	Shaanxi Police Officer Vocational College
江汉大学文理学院	College of Arts and science, Jianghan University
渤海石油职业学院	Bohai Petroleum Vocational College
山东旅游职业学院	Shandong tourism vocational college
广西工学院鹿山学院	Lushan College of Guangxi Institute of Technology
陕西科技大学镐京学院	Haojing College of Shaanxi University of science and technology
东北师范大学人文学院	School of humanities, Northeast Normal University
江西制造职业技术学院	jiangxi manufacturing polytechnic college
沈阳工业大学工程学院	College of engineering, Shenyang University of Technology
郧阳医学院药护学院	School of medicine and nursing, Yunyang Medical College
山西医科大学晋祠学院	Jinci College of Shanxi Medical University
四川工业科技学院	Sichuan Institute of Technology
青海大学昆仑学院	Kunlun College of Qinghai University
兰州商学院长青学院	Changqing College of Lanzhou Business University
湖北师范学院文理学院	College of Arts and science, Hubei Normal University
西安铁路职业技术学院	Xi'an Railway Vocational and Technical College
上海立信会计金融学院	Shanghai Lixin College of accounting and Finance
上海电机学院	Shanghai Institute of Electrical Engineering
湖南工学院	Hunan Institute of Technology
贵州工程应用技术学院	Guizhou Institute of engineering application technology
贵阳学院	guiyang university
铜仁学院	tongren university
赤峰学院	Chifeng College
天津外国语大学	Tianjin Foreign Studies University
河北民族师范学院	Hebei Normal University for Nationalities
沧州师范学院	cangzhou normal university
石家庄铁道大学	Shijiazhuang Tiedao University
内蒙古财经大学	Inner Mongolia University of Finance and Economics
沈阳航空航天大学	Shenyang Aerospace University
沈阳化工大学	Shenyang University of Chemical Technology
大连海洋大学	Dalian Ocean University
朝阳师范高等专科学校	Chaoyang Teachers College
吉林财经大学	Changchun Taxation College
东北石油大学	Northeast Petroleum University
哈尔滨金融学院	Harbin Finance University
常州大学	changzhou university
浙江农林大学	Zhejiang agriculture and Forestry University
安徽工程大学	Anhui University of Technology
淮北师范大学	Huaibei normal university
福建中医药大学	Fujian University of traditional Chinese Medicine
宁德师范学院	ningde normal university
临沂大学	Linyi University
河南财经政法大学	Henan University of finance, economics and law
武汉纺织大学	Wuhan Textile University
湖北中医药大学	Hubei University of traditional Chinese Medicine
桂林理工大学	Guilin University of Technology
广西中医药大学	Guangxi University of traditional Chinese Medicine
广西民族师范学院	Guangxi Normal University for Nationalities
兴义民族师范学院	Xingyi Normal University for Nationalities
贵州财经大学	Guizhou University of Finance and Economics
贵州民族大学	Guizhou Minzu University
西南林业大学	Southwest Forestry University
昆明医科大学	Kunming Medical University
普洱学院	Pu'er University
青海民族大学	Qinghai University for Nationalities
宁夏医科大学	Ningxia Medical University
吕梁学院	Luliang College
公安海警学院	Police College
湖北医药学院	Hubei Medical College
六盘水师范学院	Liupanshui Normal College
新疆工程学院	Xinjiang Institute of Engineering
新疆警察学院	Xinjiang police college
南华工商学院	Nanhua Business College
江西科技师范大学	Jiangxi Normal University of science and technology
集宁师范学院	Jining Normal University
吉林警察学院	jilin police college
南京森林警察学院	Nanjing Forest Police College
江西警察学院	jiangxi police college
新余学院	Xinyu College
湖南财政经济学院	Hunan Institute of Finance and Economics
湖南警察学院	Hunan Police Academy
湖南女子学院	hunan women's university
文山学院	Wenshan University
甘肃民族师范学院	Gansu Normal University for Nationalities
河套学院	Hetao University
重庆理工大学	Chongqing University of Technology
四川民族学院	Sichuan University for Nationalities
西安邮电大学	Xi'an University of Posts and Telecommunications
呼和浩特民族学院	Hohhot Institute for Nationalities
西安航空学院	Xi'an Aviation University
河南城建学院	Henan Urban Construction College
河南警察学院	Henan Police College
桂林航天工业学院	Guilin Institute of Aerospace Technology
郑州师范学院	zhengzhou normal university
华南理工大学广州学院	Guangzhou College of South China University of Technology
浙江农林大学天目学院	Tianmu college, Zhejiang a & F University
东北石油大学华瑞学院	Huarui College of Northeast Petroleum University
哈尔滨剑桥学院	Harbin Cambridge University
无锡太湖学院	Wuxi Taihu University
吉林动画学院	jilin animation institute
安徽信息工程学院	Anhui Institute of Information Engineering
青岛工学院	Qingdao Institute of Technology
商丘学院	Shangqiu University
河南财经政法大学成功学院	Chenggong College of Henan University of finance, economics and law
武汉东湖学院	Wuhan Donghu University
汉口学院	Hankou University
武昌理工学院	Wuchang Institute of Technology
中国人民解放军炮兵学院	Artillery Academy of PLA
西南大学(荣昌校区)	SOUTHWEST UNIVERSITY (Rongchang campus)
中国人民解放军海军飞行学院	PLA naval flight academy
河北外国语职业学院	Hebei Foreign Language Vocational College
河北美术学院	Hebei Academy of Fine Arts
大同煤炭职业技术学院	Datong Coal vocational and Technical College
山西职业技术学院	Shanxi vocational and Technical College
齐齐哈尔工程学院	Qiqihar Institute of Engineering
绍兴职业技术学院	Shaoxing Polytechnic
安徽文达信息工程学院	Anhui Wenda Information Engineering College
安徽外国语学院	Anhui foreign language university
山东职业学院	Shandong Vocational College
湖南冶金职业技术学院	Hunan metallurgy vocational and Technical College
陕西服装工程学院	Shaanxi Institute of fashion Engineering
北京人民警察学院	Beijing People's Police Academy
江西管理职业学院	Jiangxi Vocational College of management
齐鲁师范学院	qilu normal university
潍坊工程职业学院	Weifang Engineering Vocational College
开封文化艺术职业学院	Kaifeng Vocational College of culture and art
广东第二师范学院	Guangdong Second Normal University
陕西学前师范学院	Shaanxi Preschool Normal University
甘肃机电职业技术学院	Gansu Institute of mechanical and electrical technology
山西青年职业学院	Shanxi Youth Vocational College
福建江夏学院	Fujian Jiangxia University
白银矿冶职业技术学院	Baiyin Mining and metallurgy vocational and Technical College
山东青年政治学院	Shandong Youth Political College
河北科技学院	Hebei University of science and technology
山西工商学院	Shanxi Institute of technology and technology
福州外语外贸学院	Fuzhou Institute of foreign languages and foreign trade
青岛黄海学院	Qingdao Huanghai University
山东协和学院	Shandong Xiehe University
商丘工学院	Shangqiu Institute of Technology
广东科技学院	Guangdong University of science and technology
广西外国语学院	Guangxi Institute of foreign languages
云南工商学院	Yunnan Institute of technology and Industry
广西现代职业技术学院	Guangxi Modern Vocational and Technical College
柳州铁道职业技术学院	Liuzhou Railway Vocational and Technical College
江苏建康职业学院	Jiangsu Jiankang Vocational College
衢州学院	Quzhou University
成都东软学院	ChengDu Neusoft University
大连科技学院	Dalian Institute of science and technology
黑龙江外国语学院	Heilongjiang International University
河北联合大学轻工学院	College of light industry, Hebei Union University
哈尔滨江南职业技术学院	Harbin Jiangnan vocational and Technical College
华北理工大学冀唐学院	Jitang College of North China University of Technology
长春建筑学院	Changchun Institute of Architecture
江西服装学院	Jiangxi Institute of fashion
南昌工学院	Nanchang Institute of Technology
石家庄铁道大学四方学院	Sifang College of Shijiazhuang Railway University
天津职业技术师范大学	Tianjin University of Technology and Education
郑州升达经贸管理学院	Zhengzhou Shengda Economic and Trade Management College
武汉长江工商学院	wuhan yangtze business university
武警福州指挥学院	Fuzhou Command College of the armed police
华北理工大学	North China University of Technology
淮北师范大学信息学院	School of information, Huaibei Normal University
天津外国语大学滨海外事学院	Binhai School of foreign affairs, Tianjin Foreign Studies University
辽宁何氏医学院	Liaoning he's Medical College
哈尔滨华德学院	Harbin Huade University
湖北医药学院药护学院	College of medicine and nursing, Hubei Medical University
中国人民解放军第三军医大学	Third Military Medical University of PLA
澳门大学	University of Macau
天津广播影视职业学院	Tianjin Radio Film and television Vocational College
河北劳动关系职业学院	Hebei Vocational College of labor relations
泊头职业学院	Botou Vocational College
宣化科技职业学院	Xuanhua Vocational College of science and technology
山西轻工职业技术学院	Shanxi Polytechnic of light industry
乌兰察布医学高等专科学校	Ulanqab Medical College
鄂尔多斯职业学院	Erdos Vocational College
辽宁现代服务职业技术学院	Liaoning modern service vocational and Technical College
四平职业大学	Siping Professional College
杭州科技职业技术学院	Hangzhou Institute of science and technology
江西冶金职业技术学院	Jiangxi metallurgy vocational and Technical College
江西新闻出版职业技术学院	Jiangxi Vocational College of press and publication
郑州理工职业学院	Zhengzhou Polytechnic
山东理工职业学院	Shandong Polytechnic College
山东文化产业职业学院	Shandong Vocational College of cultural industry
安阳职业技术学院	Anyang vocational and Technical College
新乡职业技术学院	Xinxiang vocational and Technical College
驻马店职业技术学院	Zhumadian vocational and Technical College
三峡旅游职业技术学院	Three Gorges Tourism Vocational and Technical College
湖南生物机电职业技术学院	Hunan bio electromechanical vocational and Technical College
广州番禺职业技术学院	Guangzhou Panyu vocational and Technical College
广西幼儿师范高等专科学校	Guangxi Preschool Teachers College
重庆航天职业技术学院	Chongqing Aerospace College of Vocational Technology
重庆商务职业学院	Chongqing Business Vocational College
四川幼儿师范高等专科学校	Sichuan Preschool Teachers College
廊坊东方职业技术学院	Langfang Oriental vocational and Technical College
石家庄人民医学高等专科学校	Shijiazhuang people's Medical College
石家庄科技职业学院	Shijiazhuang Vocational College of science and technology
石家庄理工职业学院	Shijiazhuang Institute of Technology
运城职业技术学院	Yuncheng vocational and Technical College
大连东软信息学院	Dalian Neusoft Information Institute
辽宁财贸学院	Liaoning University of Finance and trade
大连艺术学院	Dalian Art Institute
大连航运职业技术学院	Dalian shipping vocational and Technical College
大连装备制造职业技术学院	Dalian equipment manufacturing vocational and Technical College
大连汽车职业技术学院	Dalian automobile vocational and Technical College
哈尔滨德强商务学院	Harbin Deqiang Business College
苏州信息职业技术学院	Suzhou Institute of information technology
浙江横店影视职业学院	Hengdian College of Film and Television
浙江汽车职业技术学院	Zhejiang automobile vocational and Technical College
安徽矿业职业技术学院	Anhui Institute of mining technology
合肥信息技术职业学院	Hefei Information Technology University
民办合肥滨湖职业技术学院	Private Hefei Binhu vocational and Technical College
安徽现代信息工程职业学院	Anhui modern information Engineering Vocational College
泉州泰山航海职业学院	Quanzhou Titan Maritime Institute
泉州轻工职业学院	Quanzhou Vocational College of light industry
厦门安防科技职业学院	Xiamen Security Science and Technology College
江西太阳能科技职业学院	Jiangxi Solar Energy Technology Vocational College
漯河食品职业学院	Luohe food Vocational College
郑州城市职业学院（原郑州布瑞达理工职业学院）	Zhengzhou City Vocational College (formerly Zhengzhou breida Polytechnic)
广西经济职业学院	Guangxi Vocational College of Economics
三亚理工职业学院	Sanya Polytechnic
重庆传媒职业学院	Chongqing Media Vocational College
重庆能源职业学院	Chongqing energy Vocational College
西安医学高等专科学校	Xi'an Medical College
北京第二外国语学院中瑞酒店管理学院	China Rui Hotel Management College, Beijing Second Foreign Language College
常州大学怀德学院	Huaide College of Changzhou University
上海财经大学浙江学院	Zhejiang College of Shanghai University of Finance and Economics
西南交通大学希望学院	Hope college of Southwest Jiaotong University
东莞职业技术学院	Dongguan Polytechnic
山东女子学院	shangdong woman university
浙江外国语学院	Zhejiang International Studies University
北京交通运输职业学院	Beijing Transportation Vocational College
北京艺术传媒职业学院	Beijing Vocational College of Arts and media
北京体育职业学院	Beijing Institute of Physical Education
承德护理职业学院	Chengde Vocational Nursing College
廊坊燕京职业技术学院	Langfang Yanjing vocational and Technical College
阳泉师范高等专科学校	Yangquan Teachers College
辽宁卫生职业技术学院	Liaoning health vocational and Technical College
吉林科技职业技术学院	Jilin Polytechnic of science and technology
宿迁泽达职业技术学院	Suqian Zeda vocational and Technical College
桐城师范高等专科学校	Tongcheng Teachers College
安徽汽车职业技术学院	Anhui automobile vocational and Technical College
皖西卫生职业学院	Wanxi Health Vocational College
滁州城市职业学院	Chuzhou City Vocational College
青岛远洋船员职业学院	Qingdao Ocean crew Vocational College
焦作工贸职业学院	Jiaozuo Vocational College of industry and trade
河南化工职业学院	Henan Vocational College of Chemical Engineering
河南艺术职业学院	Henan Art Vocational College
许昌陶瓷职业学院	Xuchang ceramic Vocational College
辽宁理工职业学院	Liaoning Polytechnic
晋中师范高等专科学校	Jinzhong Teachers College
内蒙古轩元职业学院	Inner Mongolia Xuanyuan Vocational College
呼伦贝尔职业技术学院	Hulunbeier vocational and Technical College
满洲里俄语职业学院	Manchuria Russian Vocational College
辽宁冶金职业技术学院	Liaoning metallurgy vocational and Technical College
辽宁工程职业学院	Liaoning Vocational College of Engineering
辽宁城市建设职业技术学院	Liaoning Vocational College of urban construction
铁岭卫生职业学院	Tieling Health Vocational College
黑龙江护理高等专科学校	Heilongjiang Nursing College
黑龙江农垦科技职业学院	Heilongjiang Nongken Vocational College of science and technology
苏州工业园区服务外包职业学院	Suzhou Industrial Park Service Outsourcing Vocational College
郑州信息工程职业学院	Zhengzhou Information Engineering Vocational College
长垣烹饪职业技术学院	Changyuan Cuisine Vocational and Technical College
武汉城市职业学院	Wuhan City Vocational College
湖南高尔夫旅游职业学院	Hunan Golf Tourism Vocational College
湖南工商职业学院	Hunan Vocational College of business and Industry
广州华商职业学院	Guangzhou Huashang Vocational College
广东江门艺华旅游职业学院	Guangdong Jiangmen Yihua Tourism Vocational College
广州华夏职业学院	Guangzhou Huaxia Vocational College
广东环境保护工程职业学院	Guangdong Vocational College of environmental protection engineering
广西科技职业学院	Guangxi Vocational College of science and technology
广西卫生职业技术学院	Guangxi health vocational and Technical College
海南工商职业学院	Hainan Vocational College of business and Industry
重庆房地产职业学院	Chongqing real estate Vocational College
重庆电讯职业学院	Chongqing Telecom Vocational College
重庆化工职业学院	Chongqing Vocational College of Chemical Engineering
重庆交通职业学院	Chongqing communications Vocational College
重庆旅游职业学院	Chongqing Vocational College of Tourism
陕西工商职业学院	Shaanxi Vocational College of business and Industry
榆林职业技术学院	Yulin vocational and Technical College
大连理工大学盘锦校区	Panjin campus of Dalian University of Technology
北京邮电大学(宏福校区)	Beijing University of Posts and Telecommunications (Hongfu campus)
中国人民解放军海军航空工程学院	Naval Institute of Aeronautical Engineering, PLA
贵州职业技术学院	Guizhou Vocational and Technical College
黔南民族幼儿师范高等专科学校	Qiannan national preschool teachers college
贵州建设职业技术学院	Guizhou construction vocational and Technical College
毕节医学高等专科学校	Bijie Medical College
